epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(4, 3)",LISTS,11,"(175,)",True,"What this Paul Simon hit lists:""You just slip out the back, Jack /Make a new plan, Stan /You don't need to be coy, Roy /Just get yourself free...""",50 ways to leave your lover,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(5, 3)",WILD WEST,19,"(75,)",False,Buffalo Bill and Wild Bill Hickok both worked for this mail service,the Pony Express,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(6, 3)",HERBS AND SPICES,15,"(75,)",False,Spice made from the dried bark of a Ceylonese tree,cinnamon,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(1, 4)",WORLD GEOGRAPHY,25,"(100,)",False,The only country in Europe barred to American tourists,Albania,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(3, 4)",SPORTS,5,"(100,)",False,"In college, Kareem Abdul-Jabbar played under this name",Lew Alcindor,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(4, 4)",LISTS,12,"(100,)",False,"For them, ""The Book of Lists"" is a family affair",the Wallaces (or the Wallechinskys),1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(5, 4)",WILD WEST,20,"(100,)",False,"This is the real name of""Custer's Last Stand""",(Battle of) the Little Bighorn,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(6, 4)",HERBS AND SPICES,17,"(100,)",False,This herb's name comes from belief that it will lengthen life and increase wisdom,sage,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(3, 5)",SPORTS,6,"(125,)",False,Superbowl trophy is named for this coach,Vince Lombardi,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(5, 5)",WILD WEST,21,"(125,)",False,This gunfighter wound up a New York City sports reporter,Bat Masterson,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(1, 1)",ANATOMY,1,"(50,)",False,"If the body were a car, they would be the carburetors",the lungs,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(2, 1)",ISLANDS,26,"(50,)",False,The two island Boroughs of New York City,Manhattan & Staten Island,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(3, 1)",THE SENATE,14,"(50,)",False,"The Constitution makes him ""president of the Senate""",the vice president of the U.S.,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(4, 1)",FOREIGN PHRASES,18,"(50,)",False,"French phrase for food items, ordered individually",a la carte,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(5, 1)",SAMS,6,"(50,)",False,Popularized by famous WW-1 recruiting poster,Uncle Sam,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(6, 1)",THE SIXTIES,7,"(50,)",False,"Self-appointed ""High Priest"" of LSD",Timothy Leary,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(1, 2)",ANATOMY,2,"(100,)",False,Building these up with steroids has caused sports controversy,muscles,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(3, 2)",THE SENATE,16,"(100,)",False,"In a letter, the correct form of address for a senator",Honorable,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(4, 2)",FOREIGN PHRASES,19,"(100,)",False,"The British call this ""the lift""",the elevator,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(5, 2)",SAMS,12,"(100,)",False,"Created by Dashiell Hammett, played by Humphrey Bogart",Sam Spade,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(6, 2)",THE SIXTIES,8,"(100,)",False,"The year Armstrong took ""one small step...""",1969,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(1, 3)",ANATOMY,3,"(200,)",True,"Babies have more than 300, while adults have only 206",bones,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(3, 3)",THE SENATE,20,"(150,)",False,Former Rhodes scholar and basketball star now senator from New Jersey,Bill Bradley,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(4, 3)",FOREIGN PHRASES,23,"(150,)",False,"Day of the year when Italians wish ""Buon Natale""",Christmas (December 25),1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(5, 3)",SAMS,13,"(150,)",False,Texas hero who won Battle of San Jacinto,Sam Houston,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(6, 3)",THE SIXTIES,9,"(150,)",False,"In late 1965 his book ""Unsafe at Any Speed"" was published",Ralph Nader,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(1, 4)",ANATOMY,4,"(200,)",False,A cranium and 2 femurs on a black flag,a skull and crossbones,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(3, 4)",THE SENATE,21,"(200,)",False,Presided over Senate while under indictment for murdering Alexander Hamilton,Aaron Burr,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(4, 4)",FOREIGN PHRASES,24,"(200,)",False,"Meaning ""a bride's belongings"", it's French for ""small bundle""",trousseau,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(5, 4)",SAMS,15,"(200,)",False,Most famous alumnus of Will Mastin Trio,Sammy Davis Jr.,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(6, 4)",THE SIXTIES,10,"(200,)",True,The group tried for conspiring to riot at '68 Democratic Convention,the Chicago Seven,0,1
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(1, 5)",ANATOMY,5,"(250,)",False,This is the body's largest gland,the liver,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(2, 5)",ISLANDS,27,"(250,)",False,Where Napoleon died in exile,St. Helena,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(3, 5)",THE SENATE,22,"(250,)",False,Group of senators who vote together for a specific purpose,a bloc,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(4, 5)",FOREIGN PHRASES,25,"(250,)",False,"Criminologist's phrase, from Latin for ""manner of working""",modus operandi,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(5, 5)",SAMS,17,"(250,)",False,"Film producer famous for malapropism, ""Include me out""",Sam Goldwyn,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Double Jeopardy,"(6, 5)",THE SIXTIES,11,"(250,)",False,American who won the 1964 Nobel Peace Prize,Martin Luther King (Jr.),1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Final Jeopardy,"(1, 1)",U.S. LANDMARKS,0,"(450, 700, 200)",False,This state boasts Mt. Rushmore,South Dakota,2,1
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(1, 1)",TELEVISION,1,"(50,)",False,Long-running Western about the Cartwright clan,Bonanza,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(2, 1)",U.S. LANDMARKS,7,"(50,)",False,"It scrapes the sky at 5th Avenue & 34th Street, New York City",the Empire State Building,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(3, 1)",CELEBRITY RELATIVES,12,"(50,)",False,"Shirley MacLaine's ""kid"" brother",Warren Beatty,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(4, 1)",FOOD,15,"(50,)",False,The most widely eaten fungus,a mushroom,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(5, 1)",SUPERSTITIONS,6,"(50,)",False,Number of years of bad luck that comes from breaking a mirror,7,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(6, 1)",AWARDS,14,"(50,)",False,This late singer's 28 gold records were the most ever awarded to an individual,Elvis (Presley),1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(1, 2)",TELEVISION,2,"(100,)",False,"He's been Bentley Gregg, the Angels' Charlie, & Blake Carrington",John Forsythe,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(2, 2)",U.S. LANDMARKS,8,"(100,)",False,"Named for the channel it spans, this California bridge is really orange",the Golden Gate,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(3, 2)",CELEBRITY RELATIVES,16,"(100,)",False,Mary Martin's boy who's developed a Dallas drawl,Larry Hagman,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(4, 2)",FOOD,27,"(100,)",False,"Jewish deli substitute for ""pate de foie gras""",chopped chicken livers,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(5, 2)",SUPERSTITIONS,13,"(100,)",False,The way a horseshoe's legs should point when it's hung for good luck,up,1,1
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(6, 2)",AWARDS,20,"(100,)",False,The annual awards given by the Academy of Motion Picture Arts & Sciences,the Oscar,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(1, 3)",TELEVISION,3,"(150,)",False,Eddie Murphy's impersonation has revived interest in this little green guy,Gumby,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(2, 3)",U.S. LANDMARKS,9,"(150,)",False,"From the Spanish for ""Cottonwood"", the site where Jim Bowie & Davy Crockett died",the Alamo,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(3, 3)",CELEBRITY RELATIVES,17,"(150,)",False,She's Dear Abby's twin sister,Ann Landers,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(4, 3)",FOOD,28,"(150,)",False,"This ""heavenly"" candy is made of whipped egg whites, sugar, & nuts",divinity,1,1
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(5, 3)",SUPERSTITIONS,24,"(150,)",False,"What actors say on opening night instead of ""good luck""",break a leg,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(6, 3)",AWARDS,23,"(150,)",False,Lech Walesa sent his wife to accept this award,the Nobel (Peace) Prize,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(1, 4)",TELEVISION,4,"(200,)",False,"The greeting which opened each episode of ""Alfred Hitchcock Presents""","""Good evening""",1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(2, 4)",U.S. LANDMARKS,10,"(200,)",False,The building on the back of a $20 bill,the White House,0,3
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(3, 4)",CELEBRITY RELATIVES,18,"(200,)",False,Carrie Fisher's famous parents,Debbie Reynolds & Eddie Fisher,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(4, 4)",FOOD,29,"(200,)",False,"Order ""calamari"" in an Italian restaurant and you'll get this seafood",squid,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(5, 4)",SUPERSTITIONS,25,"(200,)",False,"An omen of bad luck in Da Vinci's famous painting ""The Last Supper""",the spilt salt shaker (or 13 at the table),1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(6, 4)",AWARDS,22,"(200,)",False,The highest award given to an American serviceman,the Congressional Medal of Honor,0,3
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(1, 5)",TELEVISION,5,"(250,)",True,"Of 5 series spun off of ""All in the Family"" the only one still in production",The Jeffersons,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(2, 5)",U.S. LANDMARKS,11,"(250,)",False,"The view from this Colorado summit inspired the song ""America the Beautiful""",Pike\'s Peak,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(3, 5)",CELEBRITY RELATIVES,19,"(250,)",False,"They were ""Minnie's boys""",the Marx Brothers,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(5, 5)",SUPERSTITIONS,26,"(250,)",False,French warrior & statesman morbidly afraid of cats & the number 13,Napoleon,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Jeopardy,"(6, 5)",AWARDS,21,"(250,)",False,It's the award given each year's most outstanding major league pitcher,the Cy Young Award,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(1, 1)",CIVIL WAR,1,"(100,)",False,First shot of the Civil War was fired there,Fort Sumter,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(2, 1)",TOYS & GAMES,20,"(100,)",False,Popular doll that comes with adoption papers,a Cabbage Patch Kid,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(3, 1)",MOVIES,6,"(100,)",False,"Resembling a rock video, this film inspired off-the-shoulder sweatshirt fashions",Flashdance,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(4, 1)",SPORTS LEGENDS,9,"(100,)",False,His home-run records were broken by Maris & Aaron,Babe Ruth,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(5, 1)",STATE NAMES,14,"(100,)",False,The only state named after a president,Washington,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(6, 1)",FAMOUS PAIRS,11,"(100,)",False,The Brothers Grimm wrote about these 2 children of a broom maker,Hansel & Gretel,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(1, 2)",CIVIL WAR,2,"(200,)",False,It was the capital of the Confederacy,"Richmond, Viriginia",1,1
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(2, 2)",TOYS & GAMES,26,"(200,)",False,"In Monopoly, the corner between Boardwalk & Mediterranean",Go,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(3, 2)",MOVIES,7,"(200,)",False,"Her film ""Yentl"" has been called ""Tootsie on the Roof""",Barbra Streisand,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(4, 2)",SPORTS LEGENDS,10,"(200,)",False,"He has an I.Q. of 131, has written a best-seller, and stands 7'2"" tall",Kareem Abdul-Jabbar,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(5, 2)",STATE NAMES,15,"(200,)",False,Ponce de Leon named this Southern state for its flowers,Florida,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(6, 2)",FAMOUS PAIRS,21,"(200,)",False,Sin cities of the Bible,Sodom & Gomorrah,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(1, 3)",CIVIL WAR,3,"(300,)",False,"General who ravaged Georgia, then explained ""War is hell""",General (William Tecumsah) Sherman,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(2, 3)",TOYS & GAMES,27,"(300,)",False,"To play this, you need wickets, mallets and wooden balls",croquet,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(3, 3)",MOVIES,17,"(750,)",True,"Best Picture of '42, it featured the following:",Casablanca,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(4, 3)",SPORTS LEGENDS,12,"(300,)",False,"In 1971, became first woman athlete to win over $100,000 in a year",Billie Jean King,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(5, 3)",STATE NAMES,16,"(300,)",False,1 of 2 Eastern Seaboard states named after queens of England,Maryland (or Virginia),1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(6, 3)",FAMOUS PAIRS,22,"(300,)",False,It's the world's largest mail-order co.,Sears-Roebuck,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(1, 4)",CIVIL WAR,4,"(400,)",False,"Battle known as ""high water mark of the Confederacy""",the Battle of Gettysburg,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(2, 4)",TOYS & GAMES,28,"(400,)",False,"""Spit in the ocean"" is a variety of this card game",poker,0,3
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(3, 4)",MOVIES,18,"(400,)",False,"She hit ""The Road"" 7 times with Hope & Crosby",Dorothy Lamour,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(4, 4)",SPORTS LEGENDS,13,"(400,)",False,Figure skater who won only U.S. gold at 1968 Winter Olympics in France,Peggy Fleming,0,3
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(5, 4)",STATE NAMES,19,"(800,)",True,The only state with a one-syllable name,Maine,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(6, 4)",FAMOUS PAIRS,23,"(400,)",False,"Originally, these dancers' names were Frederick Austerlitz & Virginia McNath",Fred Astaire & Ginger Rogers,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(1, 5)",CIVIL WAR,5,"(500,)",False,The 2 vessels involved in the first battle between ironclad warships,the Monitor & the Merrimack,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(2, 5)",TOYS & GAMES,29,"(500,)",False,It's a tied game in chess,a stalemate,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(3, 5)",MOVIES,24,"(500,)",False,Current comic hit chronicling 30 years of a mother-daughter relationship,Terms of Endearment,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(4, 5)",SPORTS LEGENDS,8,"(500,)",False,"Voted ""Greatest All-round Athlete of Last Half Century"", he was full-blooded American Indian",Jim Thorpe,1,0
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Double Jeopardy,"(6, 5)",FAMOUS PAIRS,25,"(500,)",False,"They were the opposing attorneys at the Scopes ""Monkey"" Trial",Clarence Darrow & William Jennings Bryan,1,1
Trebek pilot 2,1984-01-01,Trebek pilot 2. Unaired. Tape date unknown. Season 1 set....,Final Jeopardy,"(1, 1)",LITERATURE,0,"(2450, 2500, 2500)",False,"Classic American novel which begins ""Call me Ishmael""",Moby-Dick,2,1
